parameter,address,access
Programmer.Program_01.Segment_08.endt,8395,0
Programmer.Program_01.Segment_08.cYcn,8396,0
Programmer.Program_01.Segment_08.P_OP,8396,0
Programmer.Program_01.Segment_08.Hb,8397,0
Programmer.Program_01.Segment_09.tYPE,8400,0
Programmer.Program_01.Segment_09.tGt,8401,0
Programmer.Program_01.Segment_09.dur,8402,0
Programmer.Program_01.Segment_09.rAtE,8402,0
Programmer.Program_01.Segment_09.PrGn,8403,0
Programmer.Program_01.Segment_09.endt,8403,0
Programmer.Program_01.Segment_09.cYcn,8404,0
Programmer.Program_01.Segment_09.P_OP,8404,0
Programmer.Program_01.Segment_09.Hb,8405,0
Programmer.Program_01.Segment_10.tYPE,8408,0
Programmer.Program_01.Segment_10.tGt,8409,0
Programmer.Program_01.Segment_10.dur,8410,0
Programmer.Program_01.Segment_10.rAtE,8410,0
Programmer.Program_01.Segment_10.PrGn,8411,0
Programmer.Program_01.Segment_10.endt,8411,0
Programmer.Program_01.Segment_10.cYcn,8412,0
Programmer.Program_01.Segment_10.P_OP,8412,0
Programmer.Program_01.Segment_10.Hb,8413,0
Programmer.Program_01.Segment_11.tYPE,8416,0
Programmer.Program_01.Segment_11.tGt,8417,0
Programmer.Program_01.Segment_11.dur,8418,0
Programmer.Program_01.Segment_11.rAtE,8418,0
Programmer.Program_01.Segment_11.PrGn,8419,0
Programmer.Program_01.Segment_11.endt,8419,0
Programmer.Program_01.Segment_11.cYcn,8420,0
Programmer.Program_01.Segment_11.P_OP,8420,0
Programmer.Program_01.Segment_11.Hb,8421,0
Programmer.Program_01.Segment_12.tYPE,8424,0
Programmer.Program_01.Segment_12.tGt,8425,0
Programmer.Program_01.Segment_12.dur,8426,0
Programmer.Program_01.Segment_12.rAtE,8426,0
Programmer.Program_01.Segment_12.PrGn,8427,0
Programmer.Program_01.Segment_12.endt,8427,0
Programmer.Program_01.Segment_12.cYcn,8428,0
Programmer.Program_01.Segment_12.P_OP,8428,0
Programmer.Program_01.Segment_12.Hb,8429,0
Programmer.Program_01.Segment_13.tYPE,8432,0
Programmer.Program_01.Segment_13.tGt,8433,0
Programmer.Program_01.Segment_13.dur,8434,0
Programmer.Program_01.Segment_13.rAtE,8434,0
Programmer.Program_01.Segment_13.PrGn,8435,0
Programmer.Program_01.Segment_13.endt,8435,0
Programmer.Program_01.Segment_13.cYcn,8436,0
Programmer.Program_01.Segment_13.P_OP,8436,0
Programmer.Program_01.Segment_13.Hb,8437,0
Programmer.Program_01.Segment_14.tYPE,8440,0
Programmer.Program_01.Segment_14.tGt,8441,0
Programmer.Program_01.Segment_14.dur,8442,0
Programmer.Program_01.Segment_14.rAtE,8442,0
Programmer.Program_01.Segment_14.PrGn,8443,0
Programmer.Program_01.Segment_14.endt,8443,0
Programmer.Program_01.Segment_14.cYcn,8444,0
Programmer.Program_01.Segment_14.P_OP,8444,0
Programmer.Program_01.Segment_14.Hb,8445,0
Programmer.Program_01.Segment_15.tYPE,8448,0
Programmer.Program_01.Segment_15.tGt,8449,0
Programmer.Program_01.Segment_15.dur,8450,0
Programmer.Program_01.Segment_15.rAtE,8450,0
Programmer.Program_01.Segment_15.PrGn,8451,0
Programmer.Program_01.Segment_15.endt,8451,0
Programmer.Program_01.Segment_15.cYcn,8452,0
Programmer.Program_01.Segment_15.P_OP,8452,0
Programmer.Program_01.Segment_15.Hb,8453,0
Programmer.Program_01.Segment_16.tYPE,8456,0
Programmer.Program_01.Segment_16.tGt,8457,0
Programmer.Program_01.Segment_16.dur,8458,0
Programmer.Program_01.Segment_16.rAtE,8458,0
Programmer.Program_01.Segment_16.PrGn,8459,0
Programmer.Program_01.Segment_16.endt,8459,0
Programmer.Program_01.Segment_16.cYcn,8460,0
Programmer.Program_01.Segment_16.P_OP,8460,0
Programmer.Program_01.Segment_16.Hb,8461,0
Programmer.Program_02.Hb,8464,4
Programmer.Program_02.Hb_V,8465,4
Programmer.Program_02.rmPU,8466,4
Programmer.Program_02.dwLU,8467,4
Programmer.Program_02.CYCn,8468,4
Programmer.Program_02.Segment_01.tYPE,8472,0
Programmer.Program_02.Segment_01.tGt,8473,0
Programmer.Program_02.Segment_01.dur,8474,0
Programmer.Program_02.Segment_01.rAtE,8474,0
Programmer.Program_02.Segment_01.PrGn,8475,0
Programmer.Program_02.Segment_01.endt,8475,0
Programmer.Program_02.Segment_01.cYcn,8476,0
Programmer.Program_02.Segment_01.P_OP,8476,0
Programmer.Program_02.Segment_01.Hb,8477,0
Programmer.Program_02.Segment_02.tYPE,8480,0
Programmer.Program_02.Segment_02.tGt,8481,0
Programmer.Program_02.Segment_02.dur,8482,0
Programmer.Program_02.Segment_02.rAtE,8482,0
Programmer.Program_02.Segment_02.PrGn,8483,0
Programmer.Program_02.Segment_02.endt,8483,0
Programmer.Program_02.Segment_02.cYcn,8484,0
Programmer.Program_02.Segment_02.P_OP,8484,0
Programmer.Program_02.Segment_02.Hb,8485,0
Programmer.Program_02.Segment_03.tYPE,8488,0
Programmer.Program_02.Segment_03.tGt,8489,0
Programmer.Program_02.Segment_03.dur,8490,0
Programmer.Program_02.Segment_03.rAtE,8490,0
Programmer.Program_02.Segment_03.PrGn,8491,0
Programmer.Program_02.Segment_03.endt,8491,0
Programmer.Program_02.Segment_03.cYcn,8492,0
Programmer.Program_02.Segment_03.P_OP,8492,0
Programmer.Program_02.Segment_03.Hb,8493,0
Programmer.Program_02.Segment_04.tYPE,8496,0
Programmer.Program_02.Segment_04.tGt,8497,0
Programmer.Program_02.Segment_04.dur,8498,0
Programmer.Program_02.Segment_04.rAtE,8498,0
Programmer.Program_02.Segment_04.PrGn,8499,0
Programmer.Program_02.Segment_04.endt,8499,0
Programmer.Program_02.Segment_04.cYcn,8500,0
Programmer.Program_02.Segment_04.P_OP,8500,0
Programmer.Program_02.Segment_04.Hb,8501,0
Programmer.Program_02.Segment_05.tYPE,8504,0
Programmer.Program_02.Segment_05.tGt,8505,0
Programmer.Program_02.Segment_05.dur,8506,0
Programmer.Program_02.Segment_05.rAtE,8506,0
Programmer.Program_02.Segment_05.PrGn,8507,0
Programmer.Program_02.Segment_05.endt,8507,0
Programmer.Program_02.Segment_05.cYcn,8508,0
Programmer.Program_02.Segment_05.P_OP,8508,0
Programmer.Program_02.Segment_05.Hb,8509,0
Programmer.Program_02.Segment_06.tYPE,8512,0
Programmer.Program_02.Segment_06.tGt,8513,0
Programmer.Program_02.Segment_06.dur,8514,0
Programmer.Program_02.Segment_06.rAtE,8514,0
Programmer.Program_02.Segment_06.PrGn,8515,0
